lpa_id,lpa_name,county,LAD19CD,LAD19NM,lpa_text
1,Adur District Council,West Sussex,E07000223,Adur,
2,Allerdale Borough Council,Cumbria,E07000026,Allerdale,
3,Amber Valley Borough Council,Derbyshire,E07000032,Amber Valley,
4,Arun District Council,West Sussex,E07000224,Arun,
5,Ashfield District Council,Nottinghamshire,E07000170,Ashfield,
6,Ashford Borough Council,Kent,E07000105,Ashford,
7,Aylesbury Vale District Council,Buckinghamshire,E07000004,Aylesbury Vale,
8,Babergh District Council,Suffolk,E07000200,Babergh,
9,London Borough of Barking and Dagenham Council,Greater London,E09000002,Barking and Dagenham,
10,London Borough of Barnet Council,Greater London,E09000003,Barnet,
11,Barnsley Metropolitan Borough Council,South Yorkshire,E08000016,Barnsley,
12,Barrow Borough Council,Cumbria,E07000027,Barrow-in-Furness,
13,Basildon Borough Council,Essex,E07000066,Basildon,
14,Basingstoke and Deane Council,Hampshire,E07000084,Basingstoke and Deane,
15,Bassetlaw District Council,Nottinghamshire,E07000171,Bassetlaw,
16,Bath and North East Somerset Council,Somerset,E06000022,Bath and North East Somerset,
17,Bedford Borough Council,Bedfordshire,E06000055,Bedford,
18,London Borough of Bexley Council,Greater London,E09000004,Bexley,
19,Birmingham City Council,West Midlands,E08000025,Birmingham,
20,Blaby District Council,Leicestershire,E07000129,Blaby,
21,Blackburn with Darwen Borough Council,Lancashire,E06000008,Blackburn with Darwen,
22,Blackpool Council,Lancashire,E06000009,Blackpool,
23,Bolsover District Council,Derbyshire,E07000033,Bolsover,
24,Bolton Borough Council,Greater Manchester,E08000001,Bolton,
25,Boston Borough Council,Lincolnshire,E07000136,Boston,
26,Bournemouth. Christchurch & Poole Council,Dorset,E06000058,"Bournemouth, Christchurch and Poole",
27,Bracknell Forest Borough Council,Berkshire,E06000036,Bracknell Forest,
28,Bradford Metropolitan District Council,West Yorkshire,E08000032,Bradford,
29,Braintree District Council,Essex,E07000067,Braintree,
30,Breckland District Council,Norfolk,E07000143,Breckland,
31,London Borough of Brent Council,Greater London,E09000005,Brent,
32,Brentwood Borough Council,Essex,E07000068,Brentwood,
33,Brighton & Hove City Council,East Sussex,E06000043,Brighton and Hove,
34,Bristol City Council,Bristol,E06000023,"Bristol, City of",
35,Broadland District Council,Norfolk,E07000144,Broadland,
36,London Borough of Bromley Council,Greater London,E09000006,Bromley,
37,Bromsgrove District Council,Worcestershire,E07000234,Bromsgrove,
38,Broxbourne Borough Council,Hertfordshire,E07000095,Broxbourne,
39,Broxtowe Borough Council,Nottinghamshire,E07000172,Broxtowe,
40,Burnley Borough Council,Lancashire,E07000117,Burnley,
41,Bury Borough Council,Greater Manchester,E08000002,Bury,
42,Calderdale Borough Council,West Yorkshire,E08000033,Calderdale,
43,Cambridge City Council,Cambridgeshire,E07000008,Cambridge,
44,London Borough of Camden Council,Greater London,E09000007,Camden,
45,Cannock Chase District Council,Staffordshire,E07000192,Cannock Chase,
46,Canterbury City Council,Kent,E07000106,Canterbury,
47,Carlisle City Council,Cumbria,E07000028,Carlisle,
48,Castle Point District Council,Essex,E07000069,Castle Point,
49,Central Bedfordshire Council,Bedfordshire,E06000056,Central Bedfordshire,
50,Charnwood Borough Council,Leicestershire,E07000130,Charnwood,
51,Chelmsford City Council,Essex,E07000070,Chelmsford,
52,Cheltenham Borough Council,Gloucestershire,E07000078,Cheltenham,
53,Cherwell District Council,Oxfordshire,E07000177,Cherwell,
54,Cheshire East Council,Cheshire,E06000049,Cheshire East,
55,Cheshire West & Chester Council,Cheshire,E06000050,Cheshire West and Chester,
56,Chesterfield Borough Council,Derbyshire,E07000034,Chesterfield,
57,Chichester District Council,West Sussex,E07000225,Chichester,
58,Chiltern District Council,Buckinghamshire,E07000005,Chiltern,
59,Chorley Borough Council,Lancashire,E07000118,Chorley,
60,City of London Corporation,Greater London,E09000001,City of London,
61,Colchester Borough Council,Essex,E07000071,Colchester,
62,Copeland Borough Council,Cumbria,E07000029,Copeland,
63,Corby Borough Council,Northamptonshire,E07000150,Corby,
64,Cornwall Council,Cornwall,E06000052,Cornwall,
65,Cotswold District Council,Gloucestershire,E07000079,Cotswold,
66,Durham County Council,County Durham,E06000047,County Durham,
67,Coventry City Council,West Midlands,E08000026,Coventry,
68,Craven District Council,North Yorkshire,E07000163,Craven,
69,Crawley Borough Council,West Sussex,E07000226,Crawley,
70,London Borough of Croydon Council,Greater London,E09000008,Croydon,
71,Dacorum Borough Council,Hertfordshire,E07000096,Dacorum,
72,Darlington Borough Council,County Durham,E06000005,Darlington,
73,Dartford Borough Council,Kent,E07000107,Dartford,
74,Daventry District Council,Northamptonshire,E07000151,Daventry,
75,Derby City Council,Derbyshire,E06000015,Derby,
76,Derbyshire Dales Council,Derbyshire,E07000035,Derbyshire Dales,
77,Doncaster Metropolitan Borough Council,South Yorkshire,E08000017,Doncaster,
78,Dorset Council,Dorset,E06000059,Dorset,
79,Dover District Council,Kent,E07000108,Dover,
80,Dudley Borough Council,West Midlands,E08000027,Dudley,
81,London Borough of Ealing Council,Greater London,E09000009,Ealing,
82,East Cambridgeshire District Council,Cambridgeshire,E07000009,East Cambridgeshire,
83,East Devon District Council,Devon,E07000040,East Devon,
84,East Hampshire District Council,Hampshire,E07000085,East Hampshire,
85,East Hertfordshire District Council,Hertfordshire,E07000242,East Hertfordshire,
86,East Lindsey District Council,Lincolnshire,E07000137,East Lindsey,
87,East Northamptonshire Council,Northamptonshire,E07000152,East Northamptonshire,
88,East Riding of Yorkshire Council,East Riding of Yorkshire,E06000011,East Riding of Yorkshire,
89,East Staffordshire Borough Council,Staffordshire,E07000193,East Staffordshire,
90,East Suffolk Council,Suffolk,E07000244,East Suffolk,
91,Eastbourne Borough Council,East Sussex,E07000061,Eastbourne,
92,Eastleigh Borough Council,Hampshire,E07000086,Eastleigh,
93,Eden District Council,Cumbria,E07000030,Eden,
94,Elmbridge Borough Council,Surrey,E07000207,Elmbridge,
95,London Borough of Enfield Council,Greater London,E09000010,Enfield,
96,Epping Forest District Council,Essex,E07000072,Epping Forest,
97,Epsom & Ewell Borough Council,Surrey,E07000208,Epsom and Ewell,
98,Erewash Borough Council,Derbyshire,E07000036,Erewash,
99,Exeter City Council,Devon,E07000041,Exeter,
100,Fareham Borough Council,Hampshire,E07000087,Fareham,
101,Fenland District Council,Cambridgeshire,E07000010,Fenland,
