plan_name,lpa,natpark,map_location,ref_date,supersededDate,supersededBy_desc,created_date,status,cross_authority_plan,plan_url
Ab Kettleby Neighbourhood Plan,Melton Borough Council,,"Ab Kettleby, Melton Mowbray",2019-10-03,,,2020-01-22 23:01:32.662611+00:00,1,0,https://40598510-d83b-48fe-b4fd-63400f103e39.filesusr.com/ugd/2778e0_b905c1beaa1943d4807a5427c20b5c10.pdf
"Abbeydore and Bacton, Ewyas Harold Group and Kentchurch Neighbourhood Plan",Herefordshire Council,,"Abbeydore and Bacton, Herefordshire",2018-03-15,,,2020-01-22 23:01:32+00:00,1,0,https://neighplan.wordpress.com/
Abbotskerswell Neighbourhood Plan,Teignbridge District Council,,"Abbotskerswell, Teignbridge",2017-09-28,,,2020-01-22 23:01:32+00:00,1,0,http://www.abbotskerswell.org.uk/index.php/neighbourhood-planning/current-neighbourhood-plan/neighbourhood-planning/neighbourhood-plan
Aberford and District Neighbourhood Plan,Leeds City Council,,"Aberford, Leeds",2019-10-31,,,2020-01-22 23:01:32.685270+00:00,1,0,https://www.leeds.gov.uk/docs/Aberford%20NP%20Referendum%20Draft.pdf
Acle Neighbourhood Plan,Broadland District Council,,"Acle, Broadland",2015-01-08,,,2020-01-22 23:01:32+00:00,1,0,http://aclepc.norfolkparishes.gov.uk/category/neighbourhood-plan/
Acomb Neighbourhood Plan,Northumberland County Council,,"Acomb, Northumberland",2019-01-10,,,2020-01-22 23:01:32+00:00,1,0,http://acombneighbourhoodplan.co.uk/
Adderbury Neighbourhood Plan,Cherwell District Council,,"Adderbury, Cherwell",2018-06-21,,,2020-01-22 23:01:32+00:00,1,0,https://www.cherwell.gov.uk/Adderburyneighbourhoodplan
Addingham Neighbourhood Plan,Bradford Metropolitan District Council,,"Addingham, Bradford",2019-11-28,,,2020-01-22 23:01:32.714549+00:00,1,0,https://www.bradford.gov.uk/Documents/DesignatedNeighbourhoodAreas/Addingham//Addingham%20Neighbourhood%20Plan%20-%20Post%20Examination%20Draft.pdf
Ailsworth Neighbourhood Plan,Peterborough City Council,,"Ailsworth, Peterborough City",2017-11-02,,,2020-01-22 23:01:32+00:00,1,0,http://www.ailsworthparishcouncil.org.uk/neighbourhood-plan/
Albourne Neighbourhood Plan,Mid Sussex District Council,South Downs National Park Authority,"Albourne, Mid Sussex",2016-09-01,,,2020-01-22 23:01:32+00:00,1,0,https://www.southdowns.gov.uk/planning/planning-policy/neighbourhood-planning/neighbourhood-development-plans/albourne-neighbourhood-plan/
Alderton Neighbourhood Plan,Tewkesbury Borough Council,,"Alderton, Tewkesbury",2018-06-21,,,2020-01-22 23:01:32+00:00,1,0,http://www.aldertonvillage.co.uk/alderton-ndp.html
Aldham Neighbourhood Plan,Babergh District Council,,"Aldham, Suffolk",2019-12-05,,,2020-01-22 23:01:32.748687+00:00,1,0,https://www.babergh.gov.uk/assets/Neighbourhood-Planning/Aldham-NP-Ref-Version.pdf
Aldingbourne Neighbourhood Plan,Arun District Council,South Downs National Park Authority,"Aldingbourne, Arun",2016-10-18,,,2020-01-22 23:01:32+00:00,1,0,https://aldingbourne-pc.gov.uk/aldingbourne-parish-council/neighbourhood-plan/
Alford Neighbourhood Plan,East Lindsey District Council,,"Alford, East Lindsey",2019-05-23,,,2020-01-22 23:01:32.764055+00:00,1,0,https://www.e-lindsey.gov.uk/article/6130/Alford-Neighbourhood-Development-Plan
Allendale Neighbourhood Plan,Northumberland County Council,,"Allendale, Northumberland",2015-03-26,,,2020-01-22 23:01:32+00:00,1,0,https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/planning%20policy/Allendale-neighbourhood-development-plan-Referendum-Version.pdf
Allerthorpe Neighbourhood Plan,East Riding of Yorkshire Council,,"Allerthorpe, Yorkshire",2019-12-12,,,2020-01-22 23:01:32.778169+00:00,1,0,https://www.eastriding.gov.uk/EasySiteWeb/GatewayLink.aspx?alId=752959
Almeley Neighbourhood Plan,Herefordshire Council,,"Almeley, Herefordshire",2019-05-30,,,2020-01-22 23:01:32.786252+00:00,1,0,http://almeleypc.org/council-business/neighbourhood-development-plan/
Alnwick and Denwick Neighbourhood Plan,Northumberland County Council,,"Alnwick, Northumberland",2017-06-15,,,2020-01-22 23:01:32+00:00,1,0,http://www.alnwick-and-denwick-plan.org.uk/
Alrewas Neighbourhood Plan,Lichfield District Council,,"Alrewas, Lichfield",2018-09-05,,,2020-01-22 23:01:32+00:00,1,0,https://www.lichfielddc.gov.uk/Council/Planning/The-local-plan-and-planning-policy/Neighbourhood-plans/Alrewas-Neighbourhood-Plan.aspx
